likes,message,numWord
37.0,fugit banker want million fraud arrest stop tint window violet longer look like clearcut banker,25
35.0,policy california ask public help identify jane doe crash victim,12
71.0,calif supreme court undock immigr Sergio c Garcia born mexico admit state bar receive license practic law state,32
173.0,long distance love girlfriend send stuff penguin travel world companion soldier boyfriend,18
27.0,fan mourn pass uncle phil mani wonder rest fresh prince cast,21
6.0,azoth deadly blast beirut fear syrian war spill increase analysis abc news Alexandr Marquardt,22
68.0,northeast us prepare blizzard Condit massive snow storm approach,11
53.0,ready,3
6.0,compel war zone story heroism u soldier gave life save afghan girl certain injury,21
83.0,live NYC snow cam empire st build abc news headquart,10
17.0,gari lee bullock passing step father truck deputy pull vehicle traffic stop p pt today,25
216.0,Alyssa meta even prove mother hand crisis,19
30.0,dive team recon Bodi believe miss pregnant year old tea woman believe victim foul play,29
37.0,fever author said unuse flight active california despite flurry report civilian sever city believe saw strang light sky new year morn,35
21.0,major winter storm unleash fur northeast affect million people signific snowfall strong wind bone chill temperature brought method travel screech halt,34
41.0,man lose pound see obes reflect dark tv,13
81.0,governor minnesota cancel public school statewide monday advance danger cold,15
28.0,lion got loos central florida wildlife sanctuary friday morn found,15
85.0,california lottery office confirm steve Tran claim million win mega million ticket,17
1.0,result fair labor associe investing Condit appl foxconn factor,15
16.0,complete list new Netflix hulu release,10
9.0,boo ze hotel chain begin phase minibar tonight nightly,14
44.0,final autopsia report rule car paul walker pro driver kill travel mph,18
89.0,tea family claim newborn skull crush doctor made rare move use force deliver despite prior request c section,24
8.0,military evacue us embassy staff south sudan analysis interior situate abc news polit report Chris good,22
74.0,week winner megamillion jackpot ticket calif say wonder woke one night realize,30
9.0,tonight nightly danger journey trace human cost immigr,14
51.0,new Judg rule mother brain dead calif girl remove hospita assume full response,21
37.0,least death attribute winter storm wallop northeast snow overnight deriv bone chill temperature today,23
34.0,new phil everly half influents everly brother die age associe press la time report,21
1.0,move come retail report billion loss fourth quarter end march,18
16.0,Marvin sap alley delete patrick claim wife contact teenage children home,21
13.0,tea lawyer describe colleague lovable laid back person fatal shot policy barricade apart build hallway daughter side,35
4.0,get rid,8
20.0,dead world war ii bomb explode germany,10
15.0,luckily champagne gone confetti swept away january still gift consume,21
22.0,excls first time since fake kidnap tiffins bray explain abc news drop every ran away fianc,26
16.0,suit alley chief order offic conduct campaign harass man,17
31.0,duo influence continue today green day Billi joe armstrong Norah Jone recent record tribute,18
11.0,Aubrey lee price vanish office rule dead policy alley grow marijuana florida house,23
120.0,even doctor tear said Finley mother children wait wake,23
4.0,surveil video may use evil trayvon martin case,11
32.0,cold part us decad,12
25.0,thought seen every life new york newly mint mayor bill de Blaseio said,16
6.0,new york polit rivalry taken turn supernature,12
25.0,dread azoth rough day colleague tip,12
84.0,action star martial art expert steven Segal may follow arnold schwarzenegg footstep,15
78.0,Babi olivia live five day parent alley force deliver crush little skull caus brain death,21
19.0,sen rand paul kentucky said week obamacar system mess describe son incorrectly enrol medicaid say unsour family current cover,36
30.0,FAA tell abc news private jet crash land aspen colorado airport singer Leann rime cibarian actor Kevin Nealon tweet wit plane crash,29
34.0,update sheriff dead injury aspen Colo private jet crash,12
177.0,utah gunman turn deal pakistan concern rifle could use us troop,17
